1	10 
2	52 
3	6 
4	37 
5	39 
6	15 
7	56 
8	12 
9	38 
10	23 
11	43 
12	61 
13	20 
14	17 
15	48 
16	45 
17	56 
18	11 
19	41 
20	46 
21	64 
22	1 
23	29 
24	66 
25	18 
26	36 
27	7 
28	39 
29	14 
30	27 
31	39 
32	22 
33	16 
34	28 
35	22 
36	1 
37	1 
38	47 
39	3 
40	41 
41	62 
42	44 
43	10 
44	10 
45	22 
46	26 
47	61 
48	52 
49	60 
50	46 
51	37 
52	23 
53	53 
54	39 
55	45 
56	5 
57	26 
58	59 
59	61 
60	33 
61	22 
62	62 
63	62 
64	66 
65	5 
66	24 
67	57 
68	20 
69	54 
70	19 
71	29 
72	44 
73	63 
74	29 
75	25 
76	19 
77	26 
78	33 
79	42 
80	37 
81	31 
82	1 
83	62 
84	34 
85	8 
86	25 
87	32 
88	15 
89	13 
90	52 
91	46 
92	45 
93	13 
94	32 
95	32 
96	35 
97	16 
98	39 
99	16 
100	37 
101	39 
102	59 
103	50 
104	61 
105	25 
106	35 
107	18 
108	60 
109	1 
110	15 
111	65 
112	19 
113	50 
114	31 
115	33 
116	38 
117	41 
118	22 
119	4 
120	32 
121	31 
122	28 
123	21 
124	63 
125	30 
126	4 
127	55 
128	31 
129	50 
130	15 
131	29 
132	9 
133	42 
134	60 
135	36 
136	13 
137	15 
138	54 
139	5 
140	35 
141	64 
142	54 
143	42 
144	23 
145	52 
146	63 
147	54 
148	6 
149	59 
150	64 
151	41 
152	43 
153	65 
154	25 
155	12 
156	63 
157	50 
158	66 
159	65 
160	34 
161	1 
162	41 
163	7 
164	35 
165	16 
166	16 
167	14 
168	52 
169	18 
170	21 
171	14 
172	41 
173	48 
174	38 
175	1 
176	66 
177	26 
178	17 
179	36 
180	56 
181	53 
182	58 
183	19 
184	38 
185	34 
186	8 
187	22 
188	17 
189	27 
190	30 
191	37 
192	22 
193	27 
194	60 
195	57 
196	50 
197	51 
198	21 
199	18 
200	54 
201	58 
202	24 
203	36 
204	59 
205	65 
206	54 
207	30 
208	18 
209	26 
210	17 
211	10 
212	9 
213	26 
214	53 
215	9 
216	47 
217	53 
218	56 
219	1 
220	59 
221	2 
222	11 
223	29 
224	47 
225	18 
226	43 
227	51 
228	25 
229	27 
230	66 
231	55 
232	49 
233	27 
234	8 
235	9 
236	55 
237	46 
238	56 
239	40 
240	30 
241	65 
242	62 
243	34 
244	55 
245	5 
246	30 
247	14 
248	22 
249	33 
250	51 
251	35 
252	10 
253	64 
254	6 
255	35 
256	61 
257	50 
258	16 
259	7 
260	2 
261	30 
262	44 
263	11 
264	16 
265	16 
266	27 
267	40 
268	14 
269	63 
270	34 
271	66 
272	9 
273	24 
274	53 
275	28 
276	42 
277	62 
278	40 
279	16 
280	42 
281	33 
282	45 
283	45 
284	47 
285	53 
286	59 
287	65 
288	46 
289	23 
290	20 
291	19 
292	63 
293	31 
294	57 
295	39 
296	8 
297	66 
298	32 
299	34 
300	29 
301	47 
302	66 
303	44 
304	53 
305	1 
306	24 
307	34 
308	8 
309	4 
310	47 
311	6 
312	20 
313	44 
314	44 
315	56 
316	47 
317	3 
318	55 
319	55 
320	29 
321	13 
322	58 
323	13 
324	49 
325	50 
326	30 
327	28 
328	12 
329	36 
330	48 
331	40 
332	4 
333	12 
334	18 
335	7 
336	60 
337	53 
338	58 
339	33 
340	4 
341	31 
342	38 
343	64 
344	40 
345	56 
346	14 
347	61 
348	19 
349	19 
350	60 
351	34 
352	24 
353	40 
354	2 
355	46 
356	46 
357	5 
358	47 
359	31 
360	19 
361	25 
362	17 
363	27 
364	45 
365	29 
366	5 
367	18 
368	1 
369	27 
370	63 
371	48 
372	40 
373	29 
374	17 
375	8 
376	14 
377	48 
378	40 
379	3 
380	46 
381	6 
382	11 
383	41 
384	50 
385	41 
386	21 
387	64 
388	29 
389	57 
390	30 
391	36 
392	34 
393	43 
394	23 
395	13 
396	60 
397	53 
398	33 
399	38 
400	29 
401	29 
402	51 
